,CNCPIYOY Index,CHEFTYOY Index,CNMS2YOY Index,CNFRBAL$ Index,CNFREXPY Index,CNFRIMPY Index,CHVAIOY Index,CNRSCYOY Index,CPMINDX Index
2003-01-31,0.4,2.4,19.3,-1.24,37.3,63.4,14.8,10,
2003-02-28,0.2,4,18.1,0.68,27.8,49.4,19.8,8.5,
2003-03-31,0.9,4.6,18.5,-0.46,34.7,45.1,16.9,9.3,
2003-04-30,1,3.6,19.2,1.02,33.3,34.4,14.9,7.7,
2003-05-30,0.7,2,20.2,2.24,37.3,40.9,13.7,4.3,
2003-06-30,0.3,1.3,20.8,2.14,32.6,40.1,16.9,8.3,
2003-07-31,0.5,1.4,20.7,1.6,30.6,35.3,16.5,9.8,
2003-08-29,0.9,1.4,21.6,2.79,27.2,27.3,17.1,9.9,
2003-09-30,1.1,1.4,20.7,0.29,31.3,39.9,16.3,9.5,
2003-10-31,1.8,1.2,21,5.73,36.7,39.7,17.2,10.2,
2003-11-28,3,1.9,20.4,4.87,33.8,28.5,17.9,9.7,
2003-12-31,3.2,3,19.6,5.73,50.7,47.4,18.1,10.9,
2004-01-30,3.2,3.5,18.1,-0.02,19.8,15.2,7.2,11.8,
2004-02-27,2.1,3.5,19.4,-7.87,39.7,77,23.2,9.2,
2004-03-31,3,3.9,19.1,-0.54,42.9,42.8,19.4,11.1,
2004-04-30,3.8,5,19.1,-2.25,32.4,42.8,19.1,13.2,
2004-05-31,4.4,6.4,17.5,2.1,32.8,35.4,17.5,17.8,
2004-06-30,5,6.4,16.2,1.84,46.5,50.5,16.2,13.9,
2004-07-30,5.3,6.4,15.3,2.03,33.9,34.2,15.5,13.2,
2004-08-31,5.3,6.8,13.63,4.49,37.5,35.6,15.9,13.1,
2004-09-30,5.2,7.9,13.94,4.99,33.1,22.1,16.1,14,
2004-10-29,4.3,8.4,13.45,7.09,28.4,29.3,15.7,14.2,
2004-11-30,2.8,8.1,14,9.9,45.9,38.5,14.8,13.9,
2004-12-31,2.4,7.1,14.6,11.08,32.7,24.6,14.4,14.5,
2005-01-31,1.9,5.8,14.13,6.48,42.1,23.9,20.9,11.5,54.7
2005-02-28,3.9,5.4,13.9,4.62,30,-5,7.6,15.8,54.5
2005-03-31,2.7,5.6,14,5.73,32.8,18.6,15.1,13.9,57.9
2005-04-29,1.8,5.8,14.1,4.59,31.9,16.2,16,12.2,56.7
2005-05-31,1.8,5.9,14.6,8.99,30.3,15,16.6,12.8,52.9
2005-06-30,1.6,5.2,15.67,9.68,30.6,15.1,16.8,12.9,51.7
2005-07-29,1.8,5.2,16.3,10.55,28.7,12.4,16.1,12.7,51.1
2005-08-31,1.3,5.3,17.34,10.04,33.2,23.5,16,12.5,52.6
2005-09-30,0.9,4.5,17.92,7.57,25.9,23.5,16.5,12.7,55.1
2005-10-31,1.2,4,17.99,12.02,29.7,23.4,16.1,12.8,54.1
2005-11-30,1.3,3.2,18.3,10.5,18.6,21,16.6,12.4,54.1
2005-12-30,1.6,3.2,17.57,11.02,18.2,22.2,16.5,12.5,54.3
2006-01-31,1.9,3.1,19.21,9.56,28.1,25.4,12.6,15.5,52.1
2006-02-28,0.9,3,18.8,2.43,22.2,29.5,20.1,9.4,52.1
2006-03-31,0.8,2.5,18.8,11.19,28.3,21.1,17.8,13.5,55.3
2006-04-28,1.2,1.9,18.9,10.46,23.9,15.3,16.6,13.6,58.1
2006-05-31,1.4,2.4,19.05,13,25.1,21.7,17.9,14.2,54.8
2006-06-30,1.5,3.5,18.4,14.5,23.3,18.9,19.5,13.9,54.1
2006-07-31,1,3.6,18.4,14.62,22.6,19.7,16.7,13.7,52.4
2006-08-31,1.3,3.4,17.9,18.8,32.8,24.6,15.7,13.8,53.1
2006-09-29,1.5,3.5,16.8,15.3,30.6,22,16.1,13.9,57
2006-10-31,1.4,2.9,17.1,23.83,29.6,14.7,14.7,14.3,54.7
2006-11-30,1.9,2.8,16.8,22.93,32.8,18.3,14.9,14.1,55.3
2006-12-29,2.8,3.1,16.9,21,24.8,13.5,14.7,14.6,54.8
2007-01-31,2.2,3.3,15.93,15.88,33,27.5,,12.7,55.1
2007-02-28,2.7,2.6,17.8,23.76,51.7,13.1,12.6,16.9,53.1
2007-03-30,3.3,2.7,17.3,6.87,6.9,14.5,17.6,15.3,56.1
2007-04-30,3,2.9,17.1,16.85,26.8,21.3,17.4,15.5,58.6
2007-05-31,3.4,2.8,16.7,22.47,28.7,19.1,18.1,15.9,55.7
2007-06-29,4.4,2.5,17.1,26.91,27.1,14.2,19.4,16,54.5
2007-07-31,5.6,2.4,18.5,24.36,34.2,26.8,18,16.4,53.3
2007-08-31,6.5,2.6,18.1,24.98,22.7,20.1,17.5,17.1,54
2007-09-28,6.2,2.7,18.5,23.81,22.7,16.1,18.9,17,56.1
2007-10-31,6.5,3.2,18.5,27.05,22.3,25.5,17.9,18.1,53.2
2007-11-30,6.9,4.6,18.5,26.28,22.7,25.3,17.3,18.8,55.4
2007-12-31,6.5,5.4,16.7,22.69,21.6,25.5,17.4,20.2,55.3
2008-01-31,7.1,6.1,18.9,19.47,26.6,27.6,,21.2,53
2008-02-29,8.7,6.6,17.5,8.56,6.5,35.1,15.4,19.1,53.4
2008-03-31,8.3,8,16.3,13.4,30.6,24.6,17.8,21.5,58.4
2008-04-30,8.5,8.1,16.9,16.67,21.9,26.4,15.7,22,59.2
2008-05-30,7.7,8.2,18.1,20.21,28.1,40,16,21.6,53.3
2008-06-30,7.1,8.8,17.4,21,17.2,31,16,23,52
2008-07-31,6.3,10,16.4,25.28,26.9,33.7,14.7,23.3,48.4
2008-08-29,4.9,10.1,16,28.69,21.1,23.1,12.8,23.2,48.4
2008-09-30,4.6,9.1,15.3,29.37,21.5,21.3,11.4,23.2,51.2
2008-10-31,4,6.6,15,35.24,19.2,15.6,8.2,22,44.6
2008-11-28,2.4,2,14.8,40.09,-2.2,-17.9,5.4,20.8,38.8
2008-12-31,1.2,-1.1,17.8,38.98,-2.8,-21.3,5.7,19,41.2
2009-01-30,1,-3.3,18.8,39.11,-17.5,-43.1,,18.5,45.3
2009-02-27,-1.6,-4.5,20.4,4.84,-25.7,-24.1,11,11.6,49
2009-03-31,-1.2,-6,25.5,18.56,-17.1,-25.1,8.3,14.7,52.4
2009-04-30,-1.5,-6.6,26,13.13,-22.6,-23,7.3,14.8,53.5
2009-05-29,-1.4,-7.2,25.7,13.39,-26.4,-25.2,8.9,15.2,53.1
2009-06-30,-1.7,-7.8,28.5,8.34,-21.4,-13.2,10.7,15,53.2
2009-07-31,-1.8,-8.2,28.4,10.63,-23,-14.9,10.8,15.2,53.3
2009-08-31,-1.2,-7.9,28.5,15.71,-23.4,-17,12.3,15.4,54
2009-09-30,-0.8,-7,29.3,12.93,-15.2,-3.5,13.9,15.5,54.3
2009-10-30,-0.5,-5.9,29.5,23.99,-13.8,-6.4,16.1,16.2,55.2
2009-11-30,0.6,-2.1,29.7,19.09,-1.2,26.7,19.2,15.8,55.2
2009-12-31,1.9,1.7,27.7,18.43,17.7,55.9,18.5,17.5,56.6
2010-01-29,1.5,4.3,26.1,14.17,21,85.5,,14,55.8
2010-02-26,2.7,5.4,25.53,7.61,45.7,44.7,12.8,22.1,52
2010-03-31,2.4,5.9,22.49,-7.24,24.3,66,18.1,18,55.1
2010-04-30,2.8,6.8,21.47,1.68,30.5,49.7,17.8,18.5,55.7
2010-05-31,3.1,7.1,20.99,19.53,48.5,48.3,16.5,18.7,53.9
2010-06-30,2.9,6.4,18.46,20.02,43.9,34.1,13.7,18.3,52.1
2010-07-30,3.3,4.8,17.61,28.73,38.1,22.7,13.4,17.9,51.2
2010-08-31,3.5,4.3,19.21,20.04,34.4,35.2,13.9,18.4,51.7
2010-09-30,3.6,4.3,18.96,16.87,25.1,24.1,13.3,18.8,53.8
2010-10-29,4.4,5,19.3,27.15,22.9,25.3,13.1,18.6,54.7
2010-11-30,5.1,6.1,19.45,22.89,34.9,37.7,13.3,18.7,55.2
2010-12-31,4.6,5.9,19.72,13.08,17.9,25.6,13.5,19.1,53.9
2011-01-31,4.9,6.6,17.2,6.46,37.7,51,,19.9,52.9
2011-02-28,4.9,7.2,15.71,-7.31,2.4,19.5,14.9,11.6,52.2
2011-03-31,5.4,7.3,16.63,0.14,35.8,27.3,14.8,17.4,53.4
2011-04-29,5.4,6.8,15.34,11.42,29.9,21.8,13.4,17.1,52.9
2011-05-31,5.5,6.8,15.07,13.05,19.4,28.4,13.3,16.9,52
2011-06-30,6.4,7.1,15.85,22.27,17.9,19.3,15.1,17.7,50.9
2011-07-29,6.5,7.5,14.65,31.48,20.4,22.9,14,17.2,50.7
2011-08-31,6.2,7.3,13.56,17.76,24.5,30.2,13.5,17,50.9
2011-09-30,6.1,6.5,13.04,14.51,17.1,20.9,13.8,17.7,51.2
2011-10-31,5.5,5,12.88,17.03,15.9,28.7,13.2,17.2,50.4
2011-11-30,4.2,2.7,12.72,14.53,13.8,22.1,12.4,17.3,49
2011-12-30,4.1,1.7,13.62,16.52,13.4,11.8,12.8,18.1,50.3
2012-01-31,4.5,0.7,12.4,27.08,-0.6,-15.3,,,50.5
2012-02-29,3.2,0,13,-31.98,18.3,40,,,51
2012-03-30,3.6,-0.3,13.4,5.18,8.8,5.3,11.9,15.2,53.1
2012-04-30,3.4,-0.7,12.8,18.53,4.9,0.2,9.3,14.1,53.3
2012-05-31,3,-1.4,13.2,18.13,15.3,13,9.6,13.8,50.4
2012-06-29,2.2,-2.1,13.6,31.91,11.3,6.1,9.5,13.7,50.2
2012-07-31,1.8,-2.9,13.9,25.29,1,4.6,9.2,13.1,50.1
2012-08-31,2,-3.5,13.5,26.41,2.7,-2.5,8.9,13.2,49.2
2012-09-28,1.9,-3.6,14.8,27.43,9.8,2.4,9.2,14.2,49.8
2012-10-31,1.7,-2.8,14.1,32.09,11.6,2.3,9.6,14.5,50.2
2012-11-30,2,-2.2,13.9,19.58,2.9,0,10.1,14.9,50.6
2012-12-31,2.5,-1.9,13.8,31.34,14.1,6,10.3,15.2,50.6
2013-01-31,2,-1.6,15.9,29.15,25,28.8,,,50.4
2013-02-28,3.2,-1.6,15.2,15.23,21.8,-15.2,,,50.1
2013-03-29,2.1,-1.9,15.7,-0.88,10,14.1,8.9,12.6,50.9
2013-04-30,,,,,,,,,
