,BM,LongShort,LongOnly,ShortOnly
2003-01-31,0,0,0,0
2003-02-28,0,0,0,0
2003-03-31,-0.03309898,-0.032121743,-0.032121743,0
2003-04-30,0.062481602,-0.06627343,0,-0.06627343
2003-05-30,0.058007137,-0.060362104,0,-0.060362104
2003-06-30,0.056595744,-0.058745842,0,-0.058745842
2003-07-31,0.055949465,0.058039407,0.058039407,0
2003-08-29,0.053528696,0.055533424,0.055533424,0
2003-09-30,-0.042091573,0.040815534,0,0.040815534
2003-10-31,0.090945918,0.096752851,0.096752851,0
2003-11-28,-0.001274678,0.000992344,0,0.000992344
2003-12-31,0.08827721,0.097103423,0.097103423,0
2004-01-30,0.002556079,-0.003636191,0,-0.003636191
2004-02-27,0.039819082,0.041213275,0.041213275,0
2004-03-31,-0.012685221,0.011741525,0,0.011741525
2004-04-30,-0.039164108,0.036587768,0,0.036587768
2004-05-31,-0.012120673,0.011053706,0,0.011053706
2004-06-30,0.013721107,0.014150185,0.014150185,0
2004-07-30,-0.033977265,0.03310006,0,0.03310006
2004-08-31,0.008183843,-0.00908584,0,-0.00908584
2004-09-30,0.024965233,0.025879684,0.025879684,0
2004-10-29,0.001596737,-0.001813853,0,-0.001813853
2004-11-30,0.044129294,-0.04558745,0,-0.04558745
2004-12-31,0.016755257,0.017461489,0.017461489,0
2005-01-31,0.002580367,0.002831886,0.002831886,0
2005-02-28,0.048390929,0.050039358,0.050039358,0
2005-03-31,-0.028968073,0.028205821,0,0.028205821
2005-04-29,-0.04141401,-0.040456168,-0.040456168,0
2005-05-31,0.030203338,-0.031011922,0,-0.031011922
2005-06-30,0.03110294,0.031768398,0.031768398,0
2005-07-29,0.056704895,-0.058732533,0,-0.058732533
2005-08-31,-0.010191483,-0.009758577,-0.009758577,0
2005-09-30,0.059148254,0.061807346,0.061807346,0
2005-10-31,-0.038400538,0.037179531,0,0.037179531
2005-11-30,0.065615539,0.068325653,0.068325653,0
2005-12-30,0.047082921,0.048604213,0.048604213,0
2006-01-31,0.053434412,-0.056550508,0,-0.056550508
2006-02-28,0.002226851,-0.002520676,0,-0.002520676
2006-03-31,0.020857311,-0.021279487,0,-0.021279487
2006-04-28,0.012432822,-0.012684906,0,-0.012684906
2006-05-31,-0.054849965,0.053090134,0,0.053090134
2006-06-30,0.001229024,-0.001291626,0,-0.001291626
2006-07-31,0.004460879,0.004482962,0.004482962,0
2006-08-31,0.02892656,0.029439567,0.029439567,0
2006-09-29,0.018294377,0.018524224,0.018524224,0
2006-10-31,0.024499119,-0.024985807,0,-0.024985807
2006-11-30,0.037078774,0.039193417,0.039193417,0
2006-12-29,0.058838114,-0.063163354,0,-0.063163354
2007-01-31,-0.017996987,0.017136717,0,0.017136717
2007-02-28,-0.004844322,-0.004447158,-0.004447158,0
2007-03-30,0.014847797,0.015128434,0.015128434,0
2007-04-30,0.040146151,-0.041130296,0,-0.041130296
2007-05-31,0.050352748,-0.052065189,0,-0.052065189
2007-06-29,0.025480143,0.026879231,0.026879231,0
2007-07-31,0.017698497,0.020509506,0.020509506,0
2007-08-31,0.001306331,0.002090738,0.002090738,0
2007-09-28,0.055579053,-0.059019971,0,-0.059019971
2007-10-31,0.0521583,-0.055494364,0,-0.055494364
2007-11-30,-0.0735655,-0.069963644,-0.069963644,0
2007-12-31,-0.019923568,0.019463905,0,0.019463905
2008-01-31,-0.148249365,0.136098743,0,0.136098743
2008-02-29,0.021799973,-0.023480497,0,-0.023480497
2008-03-31,-0.052311432,0.049641337,0,0.049641337
2008-04-30,0.086448378,0.091309043,0.091309043,0
2008-05-30,0.002894855,-0.00317071,0,-0.00317071
2008-06-30,-0.103312969,0.097800544,0,0.097800544
2008-07-31,-0.002683318,-0.002185147,-0.002185147,0
2008-08-29,-0.031953016,0.030809999,0,0.030809999
2008-09-30,-0.123256218,-0.113383371,-0.113383371,0
2008-10-31,-0.239217487,0.211420427,0,0.211420427
2008-11-28,-0.019425126,-0.017543857,-0.017543857,0
2008-12-31,0.037915611,-0.039133432,0,-0.039133432
2009-01-30,-0.07012974,0.066442961,0,0.066442961
2009-02-27,-0.083375091,0.079425043,0,0.079425043
2009-03-31,0.09610994,0.101752272,0.101752272,0
2009-04-30,0.111400098,0.118078114,0.118078114,0
2009-05-29,0.063192024,0.066181101,0.066181101,0
2009-06-30,0.014067409,0.014567963,0.014567963,0
2009-07-31,0.08378024,0.087758815,0.087758815,0
2009-08-31,0.009268387,0.010214975,0.010214975,0
2009-09-30,0.026943257,0.027816306,0.027816306,0
2009-10-30,-0.011705581,-0.010569242,-0.010569242,0
2009-11-30,0.000882999,-0.001784824,0,-0.001784824
2009-12-31,0.052172125,-0.054725905,0,-0.054725905
2010-01-29,-0.0585075,-0.056498782,-0.056498782,0
2010-02-26,0.000500128,-0.000619586,0,-0.000619586
2010-03-31,0.070176368,-0.072773933,0,-0.072773933
2010-04-30,-0.00346061,0.00316998,0,0.00316998
2010-05-31,-0.080597173,0.077170704,0,0.077170704
2010-06-30,-0.015648978,-0.015048481,-0.015048481,0
2010-07-30,0.043853877,0.045014569,0.045014569,0
2010-08-31,-0.044667729,0.043459817,0,0.043459817
2010-09-30,0.069344738,-0.071918184,0,-0.071918184
2010-10-29,0.023598863,-0.024251489,0,-0.024251489
2010-11-30,-0.002338928,0.001160397,0,0.001160397
2010-12-31,0.041710407,0.043051727,0.043051727,0
2011-01-31,0.015582036,-0.015971119,0,-0.015971119
2011-02-28,0.003768717,0.004464145,0.004464145,0
2011-03-31,0.004955382,0.006889492,0.006889492,0
2011-04-29,0.020683856,0.021056543,0.021056543,0
2011-05-31,-0.019786476,-0.019433739,-0.019433739,0
2011-06-30,-0.016761203,0.016389325,0,0.016389325
2011-07-29,-0.017096805,0.016591355,0,0.016591355
2011-08-31,-0.10990475,0.103645189,0,0.103645189
2011-09-30,-0.084652868,-0.07945736,-0.07945736,0
2011-10-31,0.093086322,-0.098568349,0,-0.098568349
2011-11-30,-0.045007202,-0.043474261,-0.043474261,0
2011-12-30,0.007421137,0.007642831,0.007642831,0
2012-01-31,0.064503916,0.06724312,0.06724312,0
2012-02-29,0.052203356,0.053892037,0.053892037,0
2012-03-30,-0.012093672,0.010758177,0,0.010758177
2012-04-30,-0.022369791,0.021349315,0,0.021349315
2012-05-31,-0.092978176,-0.088491382,-0.088491382,0
2012-06-29,0.030476041,0.031382515,0.031382515,0
2012-07-31,0.005836947,0.006079835,0.006079835,0
2012-08-31,0.010997107,-0.011485305,0,-0.011485305
2012-09-28,0.027464025,-0.028087253,0,-0.028087253
2012-10-31,0.007390172,-0.008211496,0,-0.008211496
2012-11-30,0.020416529,0.020834668,0.020834668,0
2012-12-31,0.046504439,0.04817676,0.04817676,0
2013-01-31,0.036921811,0.038105598,0.038105598,0
2013-02-28,-0.000887803,-0.000223665,-0.000223665,0
2013-03-29,0.00851877,-0.009391138,0,-0.009391138
2013-04-30,0.028761368,0.030238046,0.030238046,0
